Id,Output
1,92.78641157577499
2,102.51862488838992
3,98.68606064194758
4,106.48545661747421
5,117.55500022296204
6,91.46417486080706
7,64.6276477416707
8,103.32207504642163
9,123.4443674013206
10,92.98514818531206
11,109.17464863887149
12,111.81297903581758
13,105.41569271471258
14,49.581890719869364
15,115.8203041435023
16,95.3247177331909
17,112.60199618638616
18,51.71130048104447
19,113.15319938870952
20,116.48030375457698
21,102.08119176677391
22,60.83651141319571
23,120.9031500284778
24,110.95454983649336
25,42.727495515010325
26,114.41781570975743
27,84.78875309084633
28,114.71660448530076
29,102.59237710732526
30,77.5378801907665
31,53.7631109157756
32,118.2585755002229
33,91.76252785503016
34,111.6777001109456
35,82.28327666831616
36,113.14510320193337
37,101.46635479221563
38,87.24005491610863
39,76.26532457265735
40,56.267235674278695
41,49.307624286983824
42,110.66364509661486
43,82.40844478205383
44,44.40495063563815
45,76.991293710869
46,108.28908353732054
47,85.93384959752943
48,57.57067377413378
49,56.959301810047
50,114.76814274170745
51,119.58879166663426
52,98.47305175936222
53,125.38883504312916
54,102.30177398732276
55,70.38441046917231
56,114.01051400375019
57,89.07887343568635
58,96.73031811773822
59,94.04651880047227
60,101.52582064556816
61,72.59629430140967
62,97.08044669571335
63,65.38457840947262
64,109.3656928561475
65,106.10493777492073
66,106.32217092215441
67,100.78353286545831
68,112.55879770035904
69,96.91278061571222
70,108.63367356803575
71,65.00242739110892
72,120.3466067237689
73,112.91215820759611
74,106.53578193921335
75,80.37922579069024
76,112.5814463273451
77,76.85446199575708
78,36.12925432020125
79,66.14278330541617
80,52.203301522757535
81,64.67447963355293
82,76.27195014734495
83,66.00239797078027
84,100.71902706490249
85,107.75177754038513
86,120.52155219869042
87,115.41373666084652
88,117.48229050003263
89,48.60019326958695
90,110.78843150882014
91,109.40535499857778
92,84.90562817447508
93,95.77319731707654
94,113.61929724141159
95,114.85866145524184
96,99.2759500136676
97,110.95898222569049
98,85.49587444923739
99,83.39764189723186
100,61.891599249324
101,100.53423900490277
102,63.43115599896126
103,102.34571343232247
104,105.53659559234428
105,110.1200778490998
106,65.33165099492015
107,90.61258346431154
108,42.02479342593147
109,94.29764044457349
110,111.66816800584701
111,109.12134274959404
112,93.59296465549922
113,109.56972448842839
114,115.94090564124892
115,65.94495222524161
116,120.22471655152563
117,107.05532731326824
